Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
deep_learning_tut_ws19.pdf;78699;"Alice Emily Baird";"2019-10-23 16:17:31";dl_tut1_homework.pdf;"This sheet contains the homework exercises for tutorial 1";/deep_learning_tut_ws19.pdf
dl_tut_01.ipynb;8443;"Manuel Milling";"2019-10-23 16:19:07";dl_tut1_homework_notebook.ipynb;"This notebook contains the homework exercises for tutorial 1";/dl_tut_01.ipynb
DL-T1.ipynb;124645;"Alice Emily Baird";"2019-10-23 16:14:32";dl_tut1_notebook.ipynb;;/DL-T1.ipynb
DL-T1_slides_Baird.pptx;9538247;"Alice Emily Baird";"2019-10-23 16:18:49";dl_tut1_slides;;/DL-T1_slides_Baird.pptx
dl_tut1_solutions.ipynb;9332;"Manuel Milling";"2019-11-04 11:30:40";dl_tut1_solutions.ipynb;;/dl_tut1_solutions.ipynb
dl_tut_2_handout.pdf;250106;"Manuel Milling";"2019-11-12 19:19:28";dl_tut2_handout;;/dl_tut_2_handout.pdf
dl_tut2_homework.pdf;126655;"Manuel Milling";"2019-10-29 21:14:36";dl_tut2_homework.pdf;;/dl_tut2_homework.pdf
dl_tut2_solutions.pdf;152296;"Manuel Milling";"2019-11-06 15:42:24";dl_tut2_solutions.pdf;;/dl_tut2_solutions.pdf
dl_tut2_submission.tex;3148;"Manuel Milling";"2019-10-28 11:56:45";dl_tut2_submission.tex;;/dl_tut2_submission.tex
dl_tut3_handout.pdf;226602;"Manuel Milling";"2019-11-06 14:49:35";dl_tut3_handout.pdf;;/dl_tut3_handout.pdf
dl_tut3_homework.pdf;165474;"Manuel Milling";"2019-11-08 12:05:31";dl_tut3_homework.pdf;;/dl_tut3_homework.pdf
dl_tut3_template.ipynb;4683;"Manuel Milling";"2019-11-04 11:31:41";dl_tut3_homework_template.ipynb;;/dl_tut3_template.ipynb
dl_tut3_solution_4_template.ipynb;8337;"Manuel Milling";"2019-11-20 17:57:49";dl_tut3_solution_4_template.ipynb;;/dl_tut3_solution_4_template.ipynb
dl_tut4_handout.pdf;187207;"Manuel Milling";"2019-12-05 13:55:38";dl_tut4_handout.pdf;;/dl_tut4_handout.pdf
dl_tut4_homework.pdf;149036;"Manuel Milling";"2019-11-12 19:20:18";dl_tut4_homework.pdf;;/dl_tut4_homework.pdf
dl_tut4_solution.ipynb;30097;"Manuel Milling";"2019-12-05 16:27:47";dl_tut4_solution.ipynb;;/dl_tut4_solution.ipynb
dl_tut5_handout.pdf;186957;"Manuel Milling";"2019-11-21 14:52:42";dl_tut5_handout.pdf;;/dl_tut5_handout.pdf
dl_tut5_homework.pdf;93580;"Manuel Milling";"2019-11-21 14:52:26";dl_tut5_homework.pdf;;/dl_tut5_homework.pdf
dl_tut5_solution.ipynb;13861;"Manuel Milling";"2019-12-05 16:28:12";dl_tut5_solution.ipynb;;/dl_tut5_solution.ipynb
dl_tut5_submission.ipynb;3679;"Manuel Milling";"2019-11-19 00:28:25";dl_tut5_submission.ipynb;;/dl_tut5_submission.ipynb
dl_tut_6_homework.pdf;97995;"Thomas Wiest";"2019-11-25 14:13:33";dl_tut_6_homework.pdf;;/dl_tut_6_homework.pdf
dl_tut_6_homework_template.ipynb;7498;"Thomas Wiest";"2019-11-25 12:07:46";dl_tut_6_homework_template.ipynb;;/dl_tut_6_homework_template.ipynb
dl_tut_6_slides.pdf;1372459;"Thomas Wiest";"2019-11-28 09:19:15";dl_tut_6_slides.pdf;;/dl_tut_6_slides.pdf
dl_tut_6_solution.ipynb;94656;"Thomas Wiest";"2019-12-03 15:47:07";dl_tut_6_solution.ipynb;;/dl_tut_6_solution.ipynb
dl_tut_7.pdf;95193;"Manuel Milling";"2019-12-12 11:56:30";dl_tut_7_homework.pdf;;/dl_tut_7.pdf
